Name,LEVEL (Czech Republic),Game Rant,Playstation Official Magazine UK,Edge Magazine,Games.cz,Gamer.no,Washington Post,Softpedia,LaPS4,Vgames,DarkZero,Giant Bomb,Quarter to Three,Digital Spy,Cheat Code Central,Guardian,GRYOnline.pl,Gamersky,Digital Trends,SpazioGames,Telegraph,PSX Extreme,Meristation,Gameblog.fr,Easy Allies,Atomix,The Digital Fix,GameOver.gr,Game Over Online,Game Debate,Digital Chumps,DarkStation,Areajugones,3DJuegos,Game Informer,IGN Italia,We Got This Covered,Stevivor,TheSixthAxis,Twinfinite,Vandal,PLAY! Zine,PlayStation LifeStyle,PlayStation Universe,Press Start Australia,Push Square,Gaming Nexus,God is a Geek,IGN,IGN Spain,JeuxActu,M3,COGconnected,DualShockers,EGM,Everyeye.it,Game Revolution,Hobby Consolas,Game World Navigator Magazine,The Games Machine,Merlin'in Kazanı (Turkey),XGN,Power Unlimited,MMORPG.com,GamesBeat,Gamers' Temple,GamePro Germany,Multiplayer.it,CD-Action,TrueGaming,PlayGround.ru,InsideGamer.nl,Gamer.nl,Jeuxvideo.com,Gameplanet,Post Arcade (National Post),PlaySense,Critical Hit,Destructoid,CGMagazine,4Players.de,IGN Japan,Riot Pixels,GameCritics,The Daily Dot,Forbes,USgamer,Shacknews,Worth Playing,Cubed3,Metro GameCentral,GameSpot,Hardcore Gamer,Gamers Heroes,Video Chums,App Trigger,The Escapist,GameGrin,Slant Magazine,Ars Technica,British GQ,CNET,Eurogamer,Kotaku,Mashable,The A.V. Club,The Jimquisition,The Verge,VG247,Playstation Official Magazine Australia,Toronto Sun,Impulsegamer,GamesRadar+,NZGamer,Gamestyle,Gaming Age,Digitally Downloaded,VideoGamer,Eurogamer Germany,Eurogamer Spain,Eurogamer Italy,Games Master UK,Play UK,Pelit (Finland),CalmDownTom,Eurogamer Portugal,Level7.nu,Thunderbolt,GamingTrend,Gamer Escape,GameSkinny,Comicbook.com,Malditos Nerds,Daily Star,Screen Rant,GAMINGbible,RPG Site,Noisy Pixel,Attack of the Fanboy,RPG Fan,BaziCenter,ZTGD,RPGamer,Trusted Reviews,MGG,Wccftech,Player 2,GameSpace,TheGamer,Polygon,Gamereactor Denmark,LevelUp,GameSpew,The Sydney Morning Herald,New York Daily News,Yahoo!,AusGamers,GameCrate,PlayStation Country,games(TM),FANDOM,Metro Montreal,New Game Network,Time,Variety,Vice,KeenGamer,VGC,Carole Quintaine,GameMAG,Cultured Vultures,IBTimes UK,Arcade Sushi,Glixel,Wired,GameTrailers,ActionTrip,Brash Games,Eurogamer Poland,GamesVillage.it,Dealspwn,Kill Screen,Examiner,IGN Denmark,IGN Sweden,High-Def Digest,Hyper Magazine,PSNStores,Het Nieuwsblad,Road to VR,UploadVR,GMW3,GAMES.CH,Hey Poor Player,GamingBolt,Pure Playstation,Finger Guns,WellPlayed,Joystiq,Gamereactor Sweden,Let's Play Video Games,Sporting News,PCMag,NowGamer,Armchair Empire,PLAY,Siliconera,IGN France,Checkpoint Gaming,The Mako Reactor,PSX Brasil,GamersRD,Dexerto,Wired UK,D+PAD Magazine,MGG Spain,The Indie Game Website,But Why Tho?,IGN Adria,Inverse,Gamepressure,PC Games,Oyungezer,MeuPlayStation,Strategy Gamer,The Globe and Mail (Toronto),Machinima,GameFront,IGN Portugal,Gfinity,Shindig,GameByte,IndieWire,TierraGamer,TotalPlayStation,Launcher (The Washington Post),SECTOR.sk,NME,Android Central,Movies Games and Tech,Adventure Gamers,INVEN,GamesHub,Hooked Gamers,GGRecon,Gamer Limit
bloodborne,100.0,,90,100.0,90.0,90.0,100.0,90.0,95.0,,,,,100.0,80.0,100,95.0,,80,90.0,100,88.0,93.0,90.0,,95.0,90,100.0,,,94.0,90.0,,95,98,94,90,,90,100.0,94.0,,90,95.0,,90,90.0,100,91,90.0,90.0,,90,,95,90,80,93.0,92.0,,95.0,95.0,93.0,90.0,88,90.0,,95,80.0,,,93.0,90.0,,90,90,90.0,95,90,95.0,90,,,70.0,,,90,90,95.0,,90,90,90.0,,,,90.0,,90.0,,,,,,,,100,,,90.0,,94.0,90,89.0,90.0,100.0,100.0,100,,,,90.0,92.0,,,,90.0,,95,,,,,,,,,,90.0,95,,80.0,90,,,,,,,90,,87.0,,,100.0,,80.0,,,90.0,,,,,,,,,,,,,95.0,,,96.0,90.0,,90.0,93.0,90.0,90.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
undertale,,,90,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,95,95.0,,90,,,100,,,,,100,,90,,,,,93.0,,,,,,,,,,,,,,,,,,100,,87,,,,,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,90,,,70,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-witcher-3-wild-hunt,100.0,90.0,80,80.0,,90.0,,,94.0,,,,,100.0,90.0,100,85.0,,,85.0,100,87.0,96.0,90.0,,98.0,100,90.0,,,,100.0,,95,98,91,100,,90,100.0,94.0,,95,95.0,,100,,,93,95.0,95.0,,,,95,90,70,95.0,94.0,,93.0,95.0,,,88,,,95,95.0,,,85.0,95.0,,100,,90.0,95,80,85.0,90,,,,,,90,90,90.0,,90,100,100.0,,,,,,90.0,,,,,,,...,,,,100.0,,100.0,80,85.0,,,90.0,90,,,90.0,94.0,100.0,94.0,,,90.0,,,,,,,,,,,,,95,,,,,,,,,,80,,,,,,,100.0,,,90.0,,,,,,,,,,,,,90.0,,,98.0,94.0,,100.0,87.0,80.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divinity-original-sin-ii---definitive-edition,,,90,,,,,,84.0,,,,,,,,,,,90.0,,,,,,,100,100.0,,,,90.0,,90,,87,90,,90,,95.0,,90,85.0,,90,88.0,85,96,,,,87,,,90,,91.0,,85.0,,95.0,86.0,,,,90.0,94,,,,90.0,,95.0,100,,90.0,90,,,90,,,85.0,,,,,90.0,100.0,100,100,,,89.0,95,,,,,,,,,,,,,,,,96.0,,,,,90.0,,,,90.0,,,,,,,,,,,,,,,,90.0,,90.0,,,,,80,,,,,,,,,90,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final-fantasy-xiv-shadowbringers,,,90,,,,,,,,,,,,,,,,80,,,,,,,85.0,100,,,,,,,,,,,,,100.0,,,90,90.0,,,,,95,,,70.0,,95,,95,,,,,,80.0,,,,,,,,,,,,90.0,...,,90.0,,95,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shadow-of-the-colossus,80.0,,90,,90.0,100.0,80.0,80.0,90.0,,,,,,,100,85.0,90.0,80,95.0,100,90.0,95.0,90.0,100.0,95.0,90,100.0,97.0,,98.0,100.0,98.0,95,90,93,100,85,100,90.0,90.0,90.0,100,95.0,90.0,100,98.0,95,97,90.0,100.0,90.0,90,90,85,88,90,93.0,,95.0,88.0,70.0,,,89,,88.0,85,70.0,95.0,85.0,85.0,95.0,,80,,90.0,85,100,95.0,95,,65.0,85.0,...,90,,80,90.0,,90,90,90.0,,95.0,85,,,100.0,,,,...,...,...,...,,...,,,,92.0,80,,,91.0,100.0,,,,90.0,100.0,,,,,,,90,,,,,,,,90.0,,90.0,,,95.0,,100,,90.0,,,,95,,95.0,,80.0,,90.0,80.0,95,80.0,90.0,90,95.0,...,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-witcher-3-wild-hunt---blood-and-wine,,,,,,,,,92.0,,,,,,,,,,,,,,,,,93.0,,90.0,,,,,,,93,92,90,95,,,,,,95.0,,100,98.0,95,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,90,95.0,,,80.0,100,,,65.0,,,,,,,,,90.0,,,,,75.0,,,,,,,,,,,,,,94.0,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,85,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,80.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celeste,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,80,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,80,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inside,,,90,,,,,,90.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,90,95.0,,100,98.0,,100,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,90.0,95,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,90.0,,100.0,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nier-automata---game-of-the-yorha-edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,90.0,,,,,,,,,,,,,,,95.0,,,,,,80,,,,90,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,90.0,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resident-evil-2,,90.0,90,80.0,90.0,70.0,,,,,,,,,100.0,100,90.0,90.0,80,91.0,100,,94.0,80.0,90.0,95.0,,95.0,,,95.0,,94.0,90,95,,100,,90,90.0,,95.0,100,95.0,,80,95.0,100,90,,90.0,80.0,90,90,95,90,100,92.0,,,,,83.0,,,,90.0,90,90.0,95.0,97.0,84.0,90.0,85.0,,95,95.0,90,90,85.0,88,90.0,,,90,,90,90,95.0,100.0,90,90,90.0,90.0,84.0,95,80.0,90.0,90.0,,...,...,...,...,...,,...,...,...,,,,80,,,,100.0,90,,,90.0,,,,,,,,100,,,,,100.0,80.0,,,,,,85.0,100.0,,90,,85.0,,,,,,,,,,,,90,90.0,,100,,87,,,...,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,,90.0,90,,80.0,,,,,,,,,,,,,,,,,,,,,,100,,,,100.0,100.0,,,,,,,,,,80.0,,100.0,,90,,90,,,,,90,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,80.0,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,90,,,,,,,,100.0,,,97,,,80,,,88.0,,,100,,,,,,,,,,,,,,,,,,,,,90.0,90.0,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,95,,,,,,,90,,,,,,,,,,,,88,,,,,,,,,,,,,90,,,,,,100,,,,,80,100.0,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diablo-iii-ultimate-evil-edition,,,90,,,,,,93.0,,,80,100.0,100.0,92.0,,,,,85.0,,91.0,,90.0,,,,90.0,,,94.0,90.0,,85,93,91,,,90,,95.0,,90,90.0,,90,90.0,100,92,,85.0,,85,,95,85,90,,,,89.0,85.0,,,,95.0,,,,,,,90.0,,95,,,90,,,,,,90.0,,,100,,90.0,,80,90,90.0,,,,90.0,,,,,,90,,,,,,,95.0,90.0,,,82.0,90.0,100.0,,90,90.0,90.0,90.0,91.0,92.0,88.0,,100.0,90.0,,95,,,,,,,,,,,90,,95.0,,,,,,,,,90.0,85.0,,,,,91.0,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overwatch,,80.0,90,90.0,,,,,86.0,,,,,,96.0,,,,,,,,,,,93.0,,90.0,,,,,88.0,,,90,,,90,,,,100,90.0,,90,,95,94,,,,,,90,,,90.0,,,83.0,,,,,,,,,,,,95.0,,90,,80.0,,,,,,,,,,,90,,,90,...,,,,,,,,,,,,,,,90,,,90.0,,,,,,100.0,90.0,90,,,90.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shovel-knight,,80.0,90,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,100.0,,,90,,,,,,,90.0,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,90.0,,,,,,,,,95.0,,,,90.0,,,,,,90.0,,,,,,,,,,,80.0,,84.0,,,,,,,,,,,90.0,,,,,,90,,,,,,,,,,90.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
