Name,GameGrin,Shindig,KeenGamer,GameSpot,Wccftech,Ragequit.gr,IGN,TrueGaming,Press Start Australia,PCMag,Game Informer,Polygon,CPUGamer,Playboy,GameSpy,GamerArchive,Cincinnati Enquirer,eToychest,Adrenaline Vault,Gamer.tv,GamerFeed,Thunderbolt,Eurogamer,Xequted,G4 TV,GamePro,Times Online,Computer Games Magazine,The Sydney Morning Herald,Just Adventure,Four Fat Chicks,Frictionless Insight,Gaming Age,Boomtown,Total Video Games,Edge Magazine,Play Magazine,Yahoo!,Gamers Depot,Armchair Empire,The New York Times,GMR Magazine,Australian GamePro,Game Chronicles,Inside Gamer Online,VIA Gamers Arena,IC-Games,PC Gamer,Jolt Online Gaming UK,Gaming Horizon,Computer and Video Games,Game Over Online,Gamezilla!,Worth Playing,GameBiz,PGNx Media,AtomicGamer,Games Radar,PC Format,Gamer's Hell,XGP Gaming,Play.tm,3DAvenue,Gamers Europe,FiringSquad,IncGamers,Game Power Australia,Next Level Gaming,GamingTrend,Computer Games Online RO,Electric Playground,GameZone,GameSpot AU,My Gamer,WHAM! Gaming,Gamers' Temple,TotalGames.net,ActionTrip,Gaming Nexus,PC Gameworld,Warcry,Game Revolution,Cheat Code Central,1UP,Computer Gaming World,GameShark,GameCritics,Gamenikki,VGPub,netjak,DarkStation,CD-Action,GameOver.gr,LEVEL (Czech Republic),Impulsegamer,Gamer.no,DarkZero,AusGamers,Games.cz,We Got This Covered,Gameplanet,Atomix,God is a Geek,LevelUp,Gamer.nl,Eurogamer Italy,GameWatcher,PCGamesN,Twinfinite,Hardcore Gamer,Guardian,JeuxActu,VideoGamer,Eurogamer Poland,Meristation,Attack of the Fanboy,Gameblog.fr,GamesVillage.it,IGN Spain,Hobby Consolas,Vandal,SpazioGames,NZGamer,InsideGamer.nl,Hooked Gamers,PC Games,GRYOnline.pl,XGN,Merlin'in Kazanı (Turkey),3DJuegos,Digital Chumps,GameStar,PC PowerPlay,Digitally Downloaded,Dealspwn,Critical Hit,4Players.de,CGMagazine,GameTap,Game Almighty,GamerNode,AceGamez,Gamer 2.0,GamingExcellence,Game Positive,IGN AU,YouGamers,GameTrailers,Deeko,All Game Guide,Hot Games,Happy Puppy,GameDaily,The A.V. Club,PC Zone UK,PC Gamer UK,Digital Entertainment News,Just RPG,DailyGame,GamePower,CheckOut,Daily Radar,Quandary,Antagonist,Da Gameboyz,Gamer's Pulse,GamerWeb PC,CNET Gamecenter,Spank!,Game Rant,The Mako Reactor,Tech-Gaming,PC Invasion,Oyungezer,"Rock, Paper, Shotgun",PC Games (Russia),Adventure Gamers,GamesRadar+,Destructoid,Giant Bomb,Gaming Target,Bit-Gamer,GamingXP,Absolute Games,Cynamite,Pelit (Finland),Eurogamer Spain,Gamers.at,Gamereactor Denmark,Gamekult,Everyeye.it,MEGamers,PC Master (Greece),Level7.nu,Eurogamer Portugal,Total PC Gaming,RPGamer,D+PAD Magazine,Gamereactor Sweden,Gamervision,Multiplayer.it,RealGamer,IGN UK,9Lives,Kikizo,RPG Fan,PC Arena,GameNow,Pregaming,Hyper Magazine,Machinima,Toronto Sun,games(TM),Telegraph,The Escapist,Joystiq,Eurogamer Sweden,ZTGD,Games Master UK,Eurogamer Germany,GamesBeat,Riot Pixels,GameFront,NowGamer,Entertainment Weekly,BonusStage,GameSkinny,M3,NME,VG247,Hey Poor Player,Noisy Pixel,WellPlayed,Gamersky,The Games Machine,MMORPG.com,Gamers Heroes,Stevivor,Easy Allies,GameByte,Checkpoint Gaming,IGN Italia,GameSpace,RPG Site,GamingBolt,IGN Portugal,Jeuxvideo.com,Trusted Reviews,IGN France,MGG,Shacknews,But Why Tho?,Comicbook.com,Digital Trends,Cubed3,Siliconera,The Verge,Vice,PALGN,RewiredMind,PCWorld,Quarter to Three,Ten Ton Hammer,PLAY! Zine,Washington Post,Gamestyle,Softpedia,GameCrate,Ars Technica,Gaming Illustrated,Launcher (The Washington Post),GameSpew,Gfinity,Kotaku,Screen Rant,Windows Central,Daily Star,GMW3,Road to VR,UploadVR,DualShockers,VGC,COGconnected,Areajugones,Power Unlimited,Game World Navigator Magazine,Malditos Nerds,TheGamer,USgamer,Game Debate,Metro GameCentral,The Overpowered Noobs,British GQ,CNET,PlayGround.ru,Vgames,TheSixthAxis,Post Arcade (National Post),New Game Network,VideoGamesLife,Gamer Limit,Video Game Talk,BigPond GameArena,Wired,The Digital Fix,GamePen,Media and Games Online Network,Evil Avatar,New York Daily News,BaziCenter,SECTOR.sk,IGN Adria,TierraGamer,Gamepressure,IGN Japan,Cultured Vultures,Detroit Free Press,AltGaming,Stuff,Pelaaja (Finland),Maxim Online,Cinescape,Game Fan,Operation Sports,Play (Poland),The Jimquisition,Kill Screen,GamesHub,Dexerto,Gamer Escape,Inverse,Het Nieuwsblad,Brash Games,Sporting News,Examiner,Sports Gaming Network,Voodoo Extreme,Player 2,INVEN,HellBored,Gameplayer,Variety,Forbes,Arcade Sushi,IBTimes UK,The Daily Dot,IGN Sweden,MGG Spain,GotNext,PTGamers,NTSC-uk,GameBrink,Strategy Gamer,Gameplayer Sweden,GameFocus,WonderwallWeb,The Indie Game Website,Slant Magazine,FHM,Next Generation Magazine,Digital Spy,EGM,FANDOM,Finger Guns,GameMAG,Mashable,Buried Treasure,App Trigger,GamesNation,GamersRD,ICXM,High-Def Digest,IGN Denmark,TouchArcade,GAMINGbible,Movies Games and Tech,Time,Glixel,GAMES.CH,The Enemy,SomosXbox,XboxEra,The Indie Informer,Gamereactor Finland,Gamereactor UK,Metro Montreal,Carole Quintaine,CalmDownTom,PlaySense,UGO,Let's Play Video Games,Village Voice,GameReviewer,The Loadout,The Independent,GamePro Germany,Android Central,NPR,GGRecon,TotalPlayStation,PSX Extreme,Xbox Tavern,Pure Xbox,IGN Brasil,IndieWire,Play UK,PlayStation LifeStyle,PSM3 Magazine UK,Grab It Magazine,Wired UK,BBC Sport
mass-effect-2,,,,90,,,96,,,,98,,85.0,,,,,,,,,100.0,,,,,,,,,,,,100.0,90.0,,,,,95.0,,,,,,,,,,,,,,,,,96.0,,89.0,,,,,,93.0,,,,,85.0,,,,,,,,,,,,91,98.0,,,91.0,,,,,90,,,90.0,,,100.0,,,,95.0,,,,,,,,,100,,,100.0,,95.0,,,,,,96.0,,89.0,93.0,,88.0,,,,94,,88,100,,,,,,,,,,95.0,96.0,,,92.0,,,,,,100.0,,93.0,90.0,,,,,,,,,,,,,,,,,,,,,,100,,,90.0,,88.0,74.0,100.0,94.0,,90.0,,,100.0,,,,100.0,100.0,100.0,100.0,100.0,98.0,95.0,95.0,92.0,92.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand-theft-auto-vice-city,,,,93,,,93,,,,,,100.0,,93.0,,,,,,,,90,,100.0,,,90.0,,,,,,,,,,100.0,,92.0,,100.0,,94.0,,,,92,,,,93.0,96.0,,,,94.0,93.0,94.0,,,,,,95.0,,,,,89.0,,95.0,,,,96,,93.0,,96.0,,,80.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,100.0,100.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sid-meiers-civilization-ii,,,,92,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,97,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quake,,,,93,,,,,,,,,,,,,,,90.0,,,,,,,,,100.0,,,,,,,,,,80.0,,,,,,,,,,90,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bioshock-infinite,,,,90,,,95,,,,100,100,,,,,,,,,,80.0,100,,,,,,,,,,,,,90.0,,,,85.0,,,,,,,,91,,,,90.0,,81.0,,,100.0,,,,,,,,,80.0,,,,,,,,,,,,90.0,95.0,,,90,,,,,,,,,100,85.0,95.0,,95,100.0,,100,90.0,,100.0,,,,100,90.0,,,,,100,95.0,80.0,,95.0,,100.0,,,,94.0,,95.0,,90.0,91.0,95.0,,,94,,90,80,,,96,92,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,,93.0,,,,90.0,,100.0,,90.0,,92.0,,100.0,,,,100.0,,91.0,,,,,,,,,100.0,100.0,100.0,100.0,100,100,100.0,100.0,95.0,91.0,90.0,89,85.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-elder-scrolls-iv-oblivion,,,,93,,,93,,,,95,,90.0,,80.0,,,,,,90.0,,,,,100.0,100.0,100.0,100.0,,,,,100.0,90.0,80.0,,100.0,,,92.0,,,99.0,,,,95,94.0,,,96.0,,98.0,,,97.0,,93.0,98.0,,,,,95.0,96.0,95.0,,92,84.0,,95.0,,90.0,,,,94.0,,,,91,98.0,90.0,,91.0,90.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,90.0,96.0,,,,,,,,,,,100,95.0,93.0,,93.0,93.0,,,,100.0,,,,,,,,,,,,,,,100,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,90.0,,,,,,93.0,,,,,,100.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elden-ring,100.0,,95.0,100,100,92.0,100,,,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,100.0,,,,95.0,,,100.0,100,100,100,,,,,,100,,,,,,93,,,93.0,100.0,,,95.0,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,...,,,,,,,,,,,,,,,,92.0,,,,,,90.0,,,,94.0,,,,,99.0,,,,,,,,,,,,80.0,,,,82.0,,,,,100.0,100.0,100.0,100,100.0,100.0,100.0,98.0,97.0,95,95.0,95,95.0,95.0,95.0,93.0,90,90.0,90.0,90.0,90,90.0,90.0,90,90,90.0,90.0,80.0,70.0,70.0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grim-fandango,,,,93,,,94,,,,,,,,,,100.0,,,,,,,,,,,100.0,,100.0,100.0,,,,,,,100.0,,,,,,,,,,91,,,,94.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diablo,,,,96,,,,,,,,,,,,,,,100.0,,,,,,,,,80.0,,100.0,,,,,,,,100.0,,,,,,,,,,90,,,,,100.0,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,86.0,,100,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sid-meiers-civilization-iv,,,,94,,,94,,,,95,,95.0,,100.0,,,,,,90.0,100.0,90,,100.0,90.0,100.0,100.0,100.0,,,,,,,,,90.0,,100.0,,,,90.0,,,99.0,94,95.0,,92.0,,,95.0,,93.0,,92.0,92.0,,,96.0,,80.0,93.0,,,90.0,,92.0,,96.0,,92.0,,95,,93.0,93.0,,,91,92.0,90.0,90.0,100.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,96.0,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,100,,,93.0,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-witcher-3-wild-hunt,,,,100,,100.0,93,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,98.0,,,,,,,,75.0,,,,100,,,,,,100.0,,,,,,,100.0,,,95.0,90,,,,,,,,90,,,,,,,,,100.0,92.0,95.0,,,,90,92,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,100,100.0,90.0,90.0,90.0,90.0,90,88,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
company-of-heroes,,,,90,,,94,,,,90,,90.0,,100.0,,,,,,,,100,,100.0,95.0,100.0,100.0,100.0,,,,,,,90.0,,100.0,,100.0,,,,98.0,,,95.0,96,93.0,,,88.0,93.0,95.0,,,93.0,,92.0,,,93.0,,,,,,92.0,90,94.0,,93.0,,,75.0,96,,93.0,93.0,,,83,96.0,100.0,,100.0,,,,90.0,,,,,,,,,,,,,,,,,92.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,92.0,90.0,92.0,96.0,,,,94.0,,,,,90.0,,93.0,94.0,,,,,,,,,,,,,,,,,,,,,,100,,,98.0,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dwarf-fortress,,,,,,,100,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,100,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,90,80.0,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-life-alyx,,,,90,,,100,,95,,90,...,,,,,,,,,,,...,,,,,,,,,,100.0,,,90.0,,,,,,,,,,,,92,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,100.0,,,,100,95.0,,,,,,60,90.0,,,,95,,95,,,90,,90,100,,,,100.0,100,100.0,,95.0,95.0,100.0,90,,,,80.0,95.0,,,100,,92,,,,,90,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,...,,,90,90,,,,,,,,,,,,93.0,,,,,,,,,,92.0,,,,,,,,,,,,,100,,,,,,,80,,,,,,100.0,,,100,,,,95.0,98.0,,,,100.0,,,93.0,,,,,90,90.0,,90,90,,,,,,...,...,,,90,,,,90.0,,,,...,,,,,...,100.0,100,100.0,100.0,100,100,100,100.0,97.0,95.0,95.0,92,90.0,90,90,80.0,80,70.0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divinity-original-sin-ii,100.0,,,100,96,95.0,96,,,,98,70,,,,,,,,,,,...,,,,,,,,,,,,,90.0,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,95.0,,,,90,85.0,95.0,100.0,,100.0,,,100.0,80.0,100.0,,80,99.0,95,90.0,,90,100,100,,95.0,,,96.0,,90.0,,92.0,,98.0,90,,,98.0,93.0,95.0,,94.0,95,,93,100,,,,88,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,90,,,,,,,,,,,,94.0,,,,,,90.0,,,,94.0,,,,,92.0,,,,,,,90.0,,,,,95.0,82.0,,,95.0,,,,,,100.0,,,,,,,88.0,96,,,95.0,,,92.0,96,90.0,,,,80.0,,,,,,,,,,,,,,,,95.0,,,,98,,,,,,...,,100,,,,,,,89.0,98.0,,85,,,100,,100,90.0,,,98.0,95.0,90,90.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unreal-tournament-2004,,,,94,,,94,,,,95,,,,95.0,,,90.0,100.0,100.0,100.0,,90,,100.0,100.0,100.0,90.0,,,,100.0,,90.0,,80.0,,90.0,100.0,,,80.0,95.0,98.0,92.0,91.0,,92,,,94.0,96.0,95.0,94.0,95.0,,92.0,,83.0,93.0,,,95.0,,,,95.0,,,,,95.0,95.0,90.0,,,90.0,93.0,94.0,,100.0,91,90.0,90.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
starcraft-ii-wings-of-liberty,,,,95,,,90,,,,100,,,,80.0,,,,,,,90.0,90,,,90.0,,,,,,,,,90.0,90.0,,,,,,,,95.0,,,,93,,,93.0,85.0,,94.0,,,92.0,,93.0,95.0,,96.0,,,95.0,,,,96,90.0,,90.0,,,,96,,89.0,100.0,,,83,96.0,91.0,,75.0,80.0,,,,,,,90.0,99,90.0,,,,,95.0,,,,90,90.0,100.0,,,,,,100.0,,100.0,,100.0,,,,98.0,95,98.0,,,90.0,,,,95,,90,90,,,,,,,,,95.0,,98.0,,,97.0,95.0,,,,,,100,95.0,,,,,,,,,,,,,,,,,,,,,,,100,95,100,,,94.0,78.0,95.0,,90.0,92.0,100.0,90.0,96.0,94.0,,90.0,90.0,,,,90.0,90.0,96.0,95.0,,,,,,,,,,,90.0,100,100,100.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,95.0,90.0,90.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,,,,85,,,90,,,,93,,,,100.0,,,,,,,,100,,,100.0,,,,,,,,,,90.0,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,96.0,100.0,,,,,,,,90.0,95.0,,,90.0,,,,,95.0,,,,90,,,,,,,,,,90.0,,,,,,90.0,,,,,,90.0,,,91,,,100,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,90.0,,,,91.0,,,,,90.0,,,,,,,,90.0,,96.0,,,,,,,,,,,,80.0,100,90,,,,91.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-dead-redemption-2,,,,,,90.0,,,,,,...,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,88,,,,90.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,100,,,,,,,,,,95.0,,100.0,100,,,100,90.0,,95.0,,100,,,90.0,,100,,,,,,,,90,100.0,,,99.0,93.0,,,,93.0,,,90.0,,100,95,92,,,,90,90,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,80,,...,,,,95,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.0,,,,,,,,,,,,95,,,90,,,,,,,,,,,,,,90.0,,,90,,...,,,,,,80.0,,80.0,,,,,,93.0,100.0,,,,,,,...,,,,,100.0,...,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand-theft-auto-iii,,,,93,,,94,,,,95,,100.0,,94.0,,,,,,,,,,80.0,,,,,,,,,,,,,100.0,,98.0,,,,,,,,92,,,,88.0,,,,,,,,,,,,,84.0,,,,,,90.0,92.0,,,,,,90.0,,96.0,,,,,100.0,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homeworld,,,,90,,,95,,,,,,,,93.0,,,,100.0,,,,90,,,90.0,,90.0,,100.0,,,91.0,,90.0,,,90.0,,,,,,,,,,93,,,,92.0,,,,,,,,,,,,,,,,,,,90.0,,,,,,87.0,,,91.0,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
